,timestamp,plant_id,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,object_in_frame,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
1304,2024-08-12 17:00:01,5,False,1865.0,326226.0,0.0057168956490285874,197698.29432356358,840,464,843.4986662704334,"(990.0418230563002, 2317.285254691689)",17,False,"(967.9896850585938, 2361.174560546875)",818.03271484375,452.84967041015625,87.19464874267578,0.8327934681984205
1305,2024-08-12 17:00:01,6,True,1948.0,264049.5,0.007377404615422487,168228.59037983418,696,526,691.8858287318798,"(1790.5025667351129, 240.2546201232033)",24,True,"(1772.01123046875, 256.204833984375)",634.8683471679688,473.4220886230469,86.64838409423828,0.666280511210409
1306,2024-08-12 17:00:01,9,True,2592.0,453095.5,0.005720648295999408,218264.99614870548,863,808,917.5254764855306,"(1738.0030864197531, 1819.6130401234568)",20,True,"(1735.7318115234375, 1824.0845947265625)",791.821044921875,630.6144409179688,120.33190155029297,0.6047566651350533
1307,2024-08-12 17:00:01,4,True,2856.0,497015.5,0.0057462996626865765,222288.41007733345,768,840,927.2049395899485,"(1026.7097338935573, 1896.15756302521)",25,True,"(1046.0904541015625, 1909.697998046875)",821.6251220703125,732.773193359375,30.122163772583008,0.45231488337204767
1308,2024-08-12 17:00:01,7,True,1926.0,296342.0,0.006499247491074502,135609.6408008337,616,728,712.4507000487823,"(1905.9605399792315, 753.3831775700935)",20,True,"(1888.7813720703125, 747.5050659179688)",682.0875854492188,555.0609741210938,164.1632080078125,0.5811900066193013
1309,2024-08-12 17:00:01,10,False,269.0,12492.5,0.02153291975185111,5457.075461745262,152,120,176.02556632489498,"(2110.747211895911, 2526.6691449814125)",14,False,"(2088.4208984375, 2594.632080078125)",266.7855529785156,112.96347045898438,34.570655822753906,0.9059315159350932
1310,2024-08-12 17:00:01,2,True,2237.0,367995.0,0.00607888694139866,184205.717366457,791,648,796.8418914690668,"(951.3468931604828, 716.082253017434)",27,True,"(959.3592529296875, 709.3076782226562)",779.39794921875,532.2235717773438,105.45276641845703,0.7305445963273091
1311,2024-08-12 17:00:01,15,True,1722.0,320098.5,0.005379594093693035,157665.27724730968,720,551,750.4165509901817,"(2822.5133565621372, 2293.74099883856)",25,True,"(2836.72216796875, 2378.171875)",727.8480834960938,565.4337158203125,121.95148468017578,0.6296773372392066
1312,2024-08-12 17:00:01,8,True,2299.0,315397.0,0.007289225959663535,171188.95581424236,640,688,701.2959432365197,"(1840.7872988255763, 1333.4297520661157)",29,True,"(1841.9727783203125, 1316.6856689453125)",633.4044799804688,599.3709106445312,43.10942459106445,0.32338107231761604
1313,2024-08-12 17:00:01,11,False,2369.0,376086.0,0.006299091165318571,240248.42426419258,760,600,770.3200633502934,"(2682.801181933305, 276.33516251582944)",26,False,"(2687.596435546875, 291.9036865234375)",709.1568603515625,583.7244873046875,78.42635345458984,0.5678607422227909
